segment,best_model,actual_price,predicted_price,abs_error_vnd,ape,source,district_name,category_name,model_category,ward,area,rooms,price_per_m2
sale,Tuned RF/XGBoost Ensemble,3699999999.999994,3853170218.3192577,153170218.31926394,0.04139735630250384,chotot,Quận 7,Căn hộ/Chung cư,Căn hộ,Phường Phú Thuận,68,2,54411764.705882356
sale,Tuned RF/XGBoost Ensemble,3500000000.000005,3590085545.3966236,90085545.39661884,0.025738727256176777,chotot,Quận Bình Tân,Đất,Đất/đất nền,Phường Tân Tạo,50,4,70000000
sale,Tuned RF/XGBoost Ensemble,9499999999.999992,8525770579.790187,974229420.2098055,0.10255046528524277,chotot,Quận Bình Tân,Đất,Đất/đất nền,Phường Tân Tạo,137,4,69343065.69343066
sale,Tuned RF/XGBoost Ensemble,8200000000.000003,7216928127.563513,983071872.43649,0.11988681371176704,chotot,Quận Bình Tân,Đất,Đất/đất nền,Phường Bình Trị Đông,100,4,82000000
sale,Tuned RF/XGBoost Ensemble,8000000000,7003853698.271225,996146301.728775,0.12451828771609688,chotot,Quận Bình Tân,Đất,Đất/đất nền,Phường Tân Tạo,100,4,80000000
sale,Tuned RF/XGBoost Ensemble,5699999999.999994,5639426890.615316,60573109.38467789,0.010626861295557535,chotot,Quận Bình Tân,Đất,Đất/đất nền,Phường Bình Trị Đông,80,4,71250000
sale,Tuned RF/XGBoost Ensemble,999000000.0000018,4727182851.0974045,3728182851.0974026,3.731914765863259,chotot,Quận Bình Tân,Đất,Đất/đất nền,Phường Bình Hưng Hoà B,64,4,15609375
sale,Tuned RF/XGBoost Ensemble,4899999999.999995,4814318692.261258,85681307.7387371,0.017485981171170856,chotot,Quận Bình Tân,Đất,Đất/đất nền,Phường Tân Tạo,66.0999,4,74130218.04874137
sale,Tuned RF/XGBoost Ensemble,3000000000.0000014,2716949742.2487235,283050257.7512779,0.0943500859170926,chotot,Quận Bình Tân,Căn hộ/Chung cư,Căn hộ,Phường An Lạc A,52,1,57692307.692307696
sale,Tuned RF/XGBoost Ensemble,6400000000.000004,6478435310.095175,78435310.09517097,0.012255517202370458,chotot,Quận 8,Căn hộ/Chung cư,Căn hộ,Phường 5,150,3,42666666.666666664
sale,Tuned RF/XGBoost Ensemble,7300000000.000019,6397922630.104755,902077369.8952637,0.12357224245140566,chotot,Quận 10,Căn hộ/Chung cư,Căn hộ,Phường 14,72,2,101388888.8888889
sale,Tuned RF/XGBoost Ensemble,10500000000,8057738484.81722,2442261515.1827803,0.2325963347793124,chotot,Quận 10,Căn hộ/Chung cư,Căn hộ,Phường 14,103,3,101941747.57281554
sale,Tuned RF/XGBoost Ensemble,4279999999.9999876,5950940443.777553,1670940443.777565,0.39040664574242284,chotot,Quận 10,Căn hộ/Chung cư,Căn hộ,Phường 2,74.5,2,57449664.4295302
