transaction_type,source,district_name,category_name,listings,median_price,median_area,median_price_per_m2
Cho thuê,mogi,Quận 10,Bất động sản khác,8,3250000,45,73888.88888888889
Cho thuê,mogi,Quận 5,Bất động sản khác,8,1000000,45,56250
Cho thuê,mogi,Quận Tân Phú,"Văn phòng, Mặt bằng kinh doanh",8,29500000,150,141250
Cho thuê,muaban,Quận Bình Thạnh,Văn phòng/Mặt bằng,8,16500000,51.5,210060.60606060602
Bán,alonhadat,Quận 1,Biệt thự,7,85000000000,263,416666666.6666667
Bán,alonhadat,Quận 12,Đất,7,15000000000,168,84758364.31226766
Bán,alonhadat,Thành phố Thủ Đức,Đất nền,7,45500000000,300,153333333.33333334
Bán,chotot,Quận 11,Đất,7,7990000000,76,105131578.94736844
Bán,homedy,Quận Phú Nhuận,Nhà phố,7,3000000000,60,87500000
Bán,homedy,Thành phố Thủ Đức,Căn hộ,7,7800000000,75.5,102500000
Bán,mogi,Huyện Bình Chánh,Nhà phố,7,11000000000,105,104761904.76190476
Bán,mogi,Quận Gò Vấp,Đất nền,7,11200000000,127,102272727.27272728
Bán,mogi,Quận Tân Bình,Phòng/Cho thuê,7,60000000000,179,315061643.8356164
Bán,mogi,Quận Tân Bình,Đất nền,7,51000000000,234,210743801.65289256
Bán,muaban,Quận 11,Nhà ở,7,5000000000,38,195000000
Bán,muaban,Thành phố Thủ Đức,Đất,7,13000000000,432,84996454.25995341
Cho thuê,chotot,Quận Tân Bình,"Văn phòng, Mặt bằng kinh doanh",7,125000000,80,1487500
Cho thuê,chotot,Thành phố Thủ Đức,"Văn phòng, Mặt bằng kinh doanh",7,115000000,100,1666666.6666666667
Cho thuê,homedy,Quận Tân Bình,Căn hộ,7,11000000,87,123595.50561797751
Cho thuê,homedy,Thành phố Thủ Đức,Bất động sản khác,7,31000000,90,344444.44444444444
Cho thuê,homedy,Thành phố Thủ Đức,Căn hộ,7,16500000,79,250000
Cho thuê,mogi,Quận 6,Bất động sản khác,7,38000000,224,175000
Bán,alonhadat,Quận 12,Căn hộ chung cư,6,7949500000,152,52297979.7979798
Bán,alonhadat,Quận Bình Thạnh,Biệt thự,6,29999500000,198,147679318.1818182
Bán,alonhadat,Quận Bình Thạnh,Căn hộ chung cư,6,14400000000,83,152778864.9706458
Bán,chotot,Quận 1,Đất,6,79245000000,95,213682738.6692382
Bán,homedy,Huyện Củ Chi,Nhà phố,6,787500000,103,7596652.522395097
Bán,homedy,Quận 4,Nhà phố,6,1095000000,61.5,15319047.61904762
Bán,homedy,Quận Gò Vấp,Căn hộ,6,2200000000,49.5,42448979.591836736
Bán,mogi,Huyện Bình Chánh,Bất động sản khác,6,1902500000,74,30760167.46411483
Bán,mogi,Huyện Hóc Môn,Nhà phố,6,472500000,40,17775000
Bán,mogi,Quận 1,Phòng/Cho thuê,6,130000000000,127.5,998903508.7719297
Bán,mogi,Quận 6,Đất nền,6,10750000000,93,126785714.28571428
Bán,muaban,Quận 10,Nhà ở,6,20250000000,88.25,261383161.5120275
Bán,muaban,Quận Bình Tân,Nhà ở,6,7300000000,64.35,107977425.25930446
Bán,muaban,Quận Phú Nhuận,Nhà ở,6,14400000000,69,214743589.74358976
Bán,muaban,Thành phố Thủ Đức,Căn hộ/Chung cư,6,10550000000,93,77736942.23452093
